Group,Sample,RA,RA_log2
B_D-Wt,D-Wt,3620,11.82
B_D-Wt,D-Wt,2283,11.16
B_D-Wt,D-Wt,4328,12.08
B_D-Wt,D-Wt,2361,11.21
B_D-Wt,D-Wt,3470,11.76
D_D-mmp5KO,D-mmp5KO,3832,11.90
D_D-mmp5KO,D-mmp5KO,10654,13.38
D_D-mmp5KO,D-mmp5KO,5426,12.41
D_D-mmp5KO,D-mmp5KO,5411,12.40
D_D-mmp5KO,D-mmp5KO,5018,12.29
F_D_35S-mmp5-KO,D_35S-mmp5-KO,4248,12.05
F_D_35S-mmp5-KO,D_35S-mmp5-KO,4407,12.11
F_D_35S-mmp5-KO,D_35S-mmp5-KO,4682,12.19
F_D_35S-mmp5-KO,D_35S-mmp5-KO,5706,12.48
F_D_35S-mmp5-KO,D_35S-mmp5-KO,6062,12.57
E_W_35S-mmp5-KO,W_35S-mmp5-KO,2326,11.18
E_W_35S-mmp5-KO,W_35S-mmp5-KO,4171,12.03
E_W_35S-mmp5-KO,W_35S-mmp5-KO,2639,11.37
E_W_35S-mmp5-KO,W_35S-mmp5-KO,2301,11.17
E_W_35S-mmp5-KO,W_35S-mmp5-KO,2504,11.29
A_W-Wt,W-Wt,3928,11.94
A_W-Wt,W-Wt,2200,11.10
A_W-Wt,W-Wt,3178,11.63
A_W-Wt,W-Wt,1769,10.79
A_W-Wt,W-Wt,6171,12.59
C_W-mmp5KO,W-mmp5KO,4183,12.03
C_W-mmp5KO,W-mmp5KO,1749,10.77
C_W-mmp5KO,W-mmp5KO,1240,10.28
C_W-mmp5KO,W-mmp5KO,1618,10.66
C_W-mmp5KO,W-mmp5KO,4013,11.97